0,1,2
1.69,2.69,3.69
1.7,2.7,3.7
1.71,2.71,3.71
1.72,2.72,3.72
1.73,2.73,3.73
1.74,2.74,3.74
1.75,2.75,3.75
1.76,2.76,3.76
1.77,2.77,3.77
1.78,2.78,3.78
1.79,2.79,3.79
1.8,2.8,3.8
1.81,2.81,3.81
1.82,2.82,3.82
1.83,2.83,3.83
1.84,2.84,3.84
1.85,2.85,3.85
1.86,2.86,3.86
1.87,2.87,3.87
1.88,2.88,3.88
1.89,2.89,3.89
1.9,2.9,3.9
1.91,2.91,3.91
1.92,2.92,3.92
1.93,2.93,3.93
1.94,2.94,3.94
1.95,2.95,3.95
1.96,2.96,3.96
1.97,2.97,3.97
1.98,2.98,3.98
1.99,2.99,3.99
2,3,4
2.01,3.01,4.01
2.02,3.02,4.02
2.03,3.03,4.03
2.04,3.04,4.04
2.05,3.05,4.05
2.06,3.06,4.06
2.07,3.07,4.07
2.08,3.08,4.08
2.09,3.09,4.09
2.1,3.1,4.1
2.11,3.11,4.11
2.12,3.12,4.12
2.13,3.13,4.13
2.14,3.14,4.14
2.15,3.15,4.15
2.16,3.16,4.16
2.17,3.17,4.17
2.18,3.18,4.18
2.19,3.19,4.19
2.2,3.2,4.2
2.21,3.21,4.21
2.22,3.22,4.22
2.23,3.23,4.23
2.24,3.24,4.24
2.25,3.25,4.25
2.26,3.26,4.26
2.27,3.27,4.27
2.28,3.28,4.28
2.29,3.29,4.29
2.3,3.3,4.3
2.31,3.31,4.31
2.32,3.32,4.32
2.33,3.33,4.33
2.34,3.34,4.34
2.35,3.35,4.35
2.36,3.36,4.36
2.37,3.37,4.37
2.38,3.38,4.38
2.39,3.39,4.39
2.4,3.4,4.4
2.41,3.41,4.41
2.42,3.42,4.42
